#{"t_start": 1752083390.4125154, "env_id": "None"}
r,l,t
-0.835516,10,10.218758
-0.835516,10,10.233329
-0.835516,10,10.233329
-0.835516,10,10.233329
-0.835516,10,10.250214
-0.835516,10,10.250214
-0.835516,10,10.265009
-0.835516,10,10.26678
-0.835516,10,10.26678
-0.835516,10,10.284791
-0.835516,10,10.290019
-0.835516,10,10.300478
-0.835516,10,10.300478
-0.835516,10,10.316067
-0.835516,10,10.316923
-0.835516,10,10.33257
-0.835516,10,10.333387
-0.835516,10,10.333387
-0.835516,10,10.349429
-0.835516,10,10.350432
-0.835516,10,10.350432
-0.835516,10,10.366441
-0.835516,10,10.366441
-0.835516,10,10.366441
-0.835516,10,10.383059
-0.835516,10,10.383059
-0.835516,10,10.390526
-0.835516,10,10.40044
-0.835516,10,10.401778
-0.835516,10,10.401778
-0.835516,10,10.416456
-0.835516,10,10.416456
-0.835516,10,10.416456
-0.835516,10,10.434404
-0.835516,10,10.434404
-0.835516,10,10.434404
-0.835516,10,10.450061
-0.835516,10,10.450061
-0.835516,10,10.467239
-0.835516,10,10.467239
-0.835516,10,10.483039
-0.835516,10,10.489153
-0.835516,10,10.494919
-0.835516,10,10.500913
-0.835516,10,10.505918
-0.835516,10,10.511836
-0.835516,10,10.517513
-0.835516,10,10.522254
-0.835516,10,10.528867
-0.835516,10,10.534026
-0.835516,10,10.540026
-0.835516,10,10.546032
-0.835516,10,10.551467
-0.835516,10,10.557461
-0.835516,10,10.563475
-0.835516,10,10.569459
-0.835516,10,10.576395
-0.835516,10,10.583943
-0.835516,10,10.593715
-0.835516,10,10.609991
-0.835516,10,10.629093
-0.835516,10,10.646439
-0.835516,10,10.652225
-0.835516,10,10.657239
-0.835516,10,10.663345
-0.835516,10,10.669202
-0.835516,10,10.675074
-0.835516,10,10.680079
-0.835516,10,10.686875
-0.835516,10,10.692744
-0.835516,10,10.699145
-0.835516,10,10.705314
-0.835516,10,10.711396
-0.835516,10,10.716717
-0.835516,10,10.722915
-0.835516,10,10.727907
-0.835516,10,10.733832
-0.835516,10,10.739832
-0.835516,10,10.744835
-0.835516,10,10.752175
-0.835516,10,10.757167
-0.835516,10,10.763165
-0.835516,10,10.769009
-0.835516,10,10.773993
-0.835516,10,10.780098
-0.835516,10,10.785148
-0.835516,10,10.790151
-0.835516,10,10.79685
-0.835516,10,10.802468
-0.835516,10,10.807472
-0.835516,10,10.813465
-0.835516,10,10.818344
-0.835516,10,10.824342
-0.835516,10,10.830345
-0.835516,10,10.835563
-0.835516,10,10.841606
-0.835516,10,10.846606
-0.835516,10,10.852779
-0.835516,10,10.857778
-0.835516,10,10.86378
-0.835516,10,10.869114
-0.835516,10,10.871073
-0.835516,10,10.871073
-0.835516,10,10.88633
-0.835516,10,10.890342
-0.835516,10,10.897029
-0.835516,10,10.902518
-0.835516,10,10.908522
-0.835516,10,10.913527
-0.835516,10,10.919313
-0.835516,10,10.924301
-0.835516,10,10.93031
-0.835516,10,10.936293
-0.835516,10,10.941294
-0.835516,10,10.947304
-0.835516,10,10.952834
-0.835516,10,10.957831
-0.835516,10,10.963848
-0.835516,10,10.969271
