#{"t_start": 1752135760.0059714, "env_id": "None"}
r,l,t
2.220106,10,280.301201
2.782574,10,280.857337
2.892677,10,281.509522
1.550493,10,281.914725
2.771889,10,282.205677
2.556704,10,282.488332
2.796008,10,282.766948
2.326243,10,283.200468
1.825513,10,283.669065
1.561227,10,283.99603
2.097832,10,284.248871
2.324022,10,284.526962
3.297018,10,284.757351
2.848275,10,285.151911
2.497545,10,285.591131
2.795088,10,286.002581
2.482475,10,286.224707
1.987309,10,286.536215
2.393743,10,286.784901
3.200294,10,287.257502
2.22935,10,287.753288
3.867644,10,288.148992
2.171601,10,288.619744
2.635584,10,289.062041
2.824894,10,289.502931
3.140221,10,289.955295
2.993248,10,290.181569
2.669752,10,290.398384
2.786362,10,290.632928
2.060266,10,290.875982
2.281412,10,291.257869
3.262328,10,291.671271
2.725822,10,292.088745
2.54316,10,292.481539
3.200838,10,292.965528
2.314518,10,293.377255
2.332885,10,293.901275
2.114723,10,294.336445
3.297989,10,294.766145
2.905901,10,295.150436
2.146323,10,295.562738
3.042971,10,295.961642
1.803194,10,296.347567
2.800066,10,296.720737
3.120476,10,297.032265
2.237058,10,297.272408
2.25075,10,297.555252
2.212622,10,297.798874
3.102151,10,298.104883
3.335928,10,298.338909
2.271278,10,298.562268
2.826916,10,298.805549
2.813473,10,299.256377
2.109963,10,299.724129
2.625905,10,300.340752
2.38969,10,300.921824
2.899942,10,301.382418
2.904063,10,301.8101
2.800474,10,302.169002
2.339822,10,302.372392
2.846513,10,302.623562
1.862214,10,302.86483
2.861024,10,303.114687
3.271833,10,303.340791
3.325156,10,303.689354
2.975605,10,304.005053
2.770157,10,304.440469
2.155299,10,304.698282
2.811212,10,305.015317
2.645995,10,305.530557
2.820136,10,305.955302
2.617476,10,306.374932
2.830939,10,306.847314
3.105053,10,307.317174
2.963618,10,307.748816
1.803617,10,308.148349
2.338617,10,308.643795
2.70595,10,309.072245
1.931002,10,309.51544
2.05464,10,309.879307
3.609489,10,310.329107
2.645368,10,310.772772
2.848741,10,311.216126
2.602307,10,311.468536
2.253426,10,311.820983
2.622705,10,312.2791
2.275004,10,312.72167
1.800176,10,313.177621
1.899548,10,313.634916
3.355071,10,314.103421
2.034612,10,314.550226
2.519332,10,314.897504
1.913301,10,315.328725
2.507698,10,315.787657
2.595821,10,316.262298
2.295124,10,316.73721
2.049766,10,317.396923
2.816012,10,317.77363
2.581997,10,318.140432
2.718654,10,318.443808
2.541939,10,318.735488
2.349951,10,319.189327
1.776809,10,319.689558
3.658162,10,320.133578
2.3082,10,320.611655
2.112666,10,321.011633
2.509756,10,321.406636
2.838028,10,321.752076
2.516644,10,322.00298
2.994759,10,322.41248
1.971555,10,322.894341
3.689979,10,323.328789
2.86079,10,323.799643
2.61717,10,324.217648
2.654294,10,324.606235
3.632625,10,324.945549
1.849674,10,325.332568
2.81839,10,325.788732
2.710561,10,326.243864
2.530787,10,326.69785
2.246595,10,327.203128
2.278326,10,327.551949
2.327718,10,327.88351
2.549436,10,328.325587
3.149928,10,328.773769
2.042972,10,329.202527
2.847549,10,329.598581
2.402925,10,330.027244
2.337413,10,330.507902
2.798008,10,330.903592
2.789667,10,331.332098
2.911183,10,331.691381
2.524579,10,332.051876
2.530503,10,332.475309
2.450404,10,332.917703
3.045555,10,333.360702
3.132941,10,333.793468
2.042788,10,334.22087
2.657438,10,334.647086
2.534817,10,334.947368
3.279484,10,335.261048
3.638763,10,335.689678
2.553998,10,336.133465
2.093628,10,336.576035
2.815692,10,337.054715
3.451714,10,337.465559
2.067921,10,337.891819
2.206983,10,338.173649
2.312949,10,338.46437
2.845834,10,338.824675
2.12762,10,339.147733
2.004816,10,339.536823
2.03502,10,339.920788
2.548827,10,340.260858
3.452293,10,340.647816
2.526684,10,341.103259
2.345854,10,341.375169
2.517888,10,341.614393
4.778173,10,341.8298
2.717894,10,342.058992
2.570728,10,342.493511
2.31489,10,342.990506
2.470072,10,343.377089
2.583764,10,343.842635
3.466109,10,344.320263
3.407207,10,344.625842
2.334383,10,344.916591
2.797566,10,345.17592
2.525982,10,345.443742
2.647076,10,345.693598
2.62527,10,345.969203
3.310367,10,346.318636
2.609478,10,346.803921
3.158828,10,347.271271
3.352688,10,347.661134
2.732751,10,348.071948
2.818642,10,348.454877
3.31978,10,348.815906
2.338993,10,349.154395
2.41665,10,349.576562
2.994522,10,350.016339
2.807893,10,350.445013
3.617927,10,350.83499
2.252911,10,351.269407
2.646639,10,351.589866
3.327133,10,351.82888
2.65223,10,352.135678
2.305437,10,352.550189
1.956796,10,352.94825
2.325858,10,353.362872
2.817842,10,353.770093
2.322955,10,354.152891
2.363296,10,354.554812
2.864131,10,354.809399
2.036033,10,355.123965
2.593731,10,355.438164
2.691305,10,355.771291
2.265478,10,356.219065
2.84239,10,356.635041
2.525602,10,357.016177
2.868867,10,357.422004
2.535215,10,357.744497
2.821234,10,358.171347
2.83643,10,358.445559
2.366798,10,358.788048
2.796631,10,359.237793
2.967794,10,359.558725
3.248406,10,359.985645
2.586686,10,360.324549
2.356283,10,360.549619
2.419559,10,360.776811
3.072999,10,360.992193
2.64908,10,361.20859
2.948458,10,361.473252
3.333254,10,361.742637
2.870376,10,361.992394
2.148834,10,362.361931
2.233626,10,362.706761
2.110733,10,363.122902
2.083268,10,363.489067
2.635247,10,363.901082
3.341312,10,364.321997
2.877184,10,364.687499
2.356065,10,364.977633
3.047757,10,365.373512
2.881947,10,365.816705
3.117316,10,366.234075
2.691332,10,366.608284
2.27906,10,366.9783
2.839589,10,367.432134
2.856462,10,367.844143
2.972588,10,368.149956
3.649237,10,368.784858
2.045242,10,369.502197
2.425037,10,370.15885
2.944053,10,370.800053
3.719503,10,371.457656
2.606497,10,372.046086
2.761268,10,372.740581
3.001209,10,373.358572
2.91861,10,373.983475
2.68435,10,374.694565
3.659755,10,375.313797
1.797479,10,376.016285
2.832317,10,376.72405
2.171433,10,377.378636
3.112231,10,378.028708
2.840263,10,378.697606
2.346746,10,379.362447
